DateTime	    ||Type||Log
09:19:2019 16:09:49||INFO||

09:19:2019 16:20:20||INFO||Pre-Condition setting done.

09:19:2019 16:20:20||INFO||Base url set to http://qa.backoffice-api.com

09:19:2019 16:20:20||INFO||

09:23:2019 13:46:46||INFO||Pre-Condition setting done.

09:23:2019 13:46:46||INFO||Base url set to http://qa.backoffice-api.com

09:23:2019 13:46:47||INFO||

09:23:2019 13:47:19||INFO||Pre-Condition setting done.

09:23:2019 13:47:19||INFO||Base url set to http://qa.backoffice-api.com

09:23:2019 13:47:19||INFO||

10:09:2019 15:36:46||INFO||Pre-Condition setting done.

10:09:2019 15:36:46||INFO||Base url set to http://qa.backoffice-api.com

10:09:2019 15:36:46||INFO||
